Machine_ID,Temperature,Run_Time,Downtime_Flag
M7,82.8007765926831,42.91432150640848,0
M4,106.30477930312004,40.26589902411283,1
M8,99.64814526294107,231.4759595200964,1
M5,75.11063321125998,207.93959423499382,0
M7,115.93752611303732,246.5752506944486,1
M10,109.50423185620434,58.44923416725761,0
M3,71.15113023938187,39.604134099598056,0
M7,102.5683605494123,167.31640815084617,1
M8,108.5623334259869,134.65071250034777,0
M5,88.7217684860211,154.72567290115805,0
M4,73.44607696836094,297.72887039497397,0
M8,73.86605327443937,292.1024885710809,1
M8,75.21234830259047,284.42515521176205,1
M3,112.02198159902115,241.63752272727194,1
M6,115.53430991278566,125.8071672693604,0
M5,76.14053909228669,141.27535117094834,0
M2,81.79530172975406,178.39633180410962,0
M8,78.27602551836449,254.24430322930678,0
M6,79.31604397470603,48.55246477993229,0
M2,111.8745394501246,144.56015918891978,0
M5,86.60732063274695,52.30676913400254,1
M1,85.57221320228206,168.95754837484813,0
M10,81.36978104385562,272.70322248168355,0
M6,100.39471968971293,241.27092963226323,1
M9,88.96528491927744,91.5174527366397,0
M1,107.21248259216445,293.517529391674,1
M10,80.27899041878187,210.18460747253567,0
M3,109.38949443572461,32.815478837298826,0
M7,100.18607658650694,98.96164086500927,0
M4,75.71336500278439,100.39259097837747,0
M9,90.72522921018138,48.69866269718218,0
M3,113.17590703064785,289.1531598805008,1
M5,116.14801158992424,159.12892953549942,1
M3,93.28500611594066,271.8699412904081,0
M7,94.04184890445367,116.99818593004966,0
M5,115.92273624696506,63.81306401686332,0
M9,99.35341120682835,158.07074967467776,1
M7,71.64233351217192,60.76829137286563,0
M2,115.63747314395644,161.22418580393577,1
M4,82.4113221378576,278.4802389292401,1
M9,98.88159770457736,170.60739829523743,1
M2,78.27566587139869,196.45492626167254,1
M10,71.69395801232974,72.29237798292824,1
M9,85.57365855663787,41.808618987591764,0
M10,109.02478537730438,59.9181497885479,0
M5,83.87935863147091,191.60352543477873,0
M2,81.00486070405485,55.65315872792226,0
M4,80.63403921706131,131.51808028415408,0
M7,95.75868412034063,178.52482392370212,1
M8,118.77706578413782,134.9362556300587,0
M3,92.94944940085065,74.1946263956314,0
M1,97.86526844450239,103.92365302880876,0
M4,113.0316008945367,280.64573386911576,1
M2,96.75348594668293,212.51521440831596,1
M8,79.22314357094281,163.93291644356938,0
M4,84.97979558832385,33.43302029646125,0
M2,85.49684631343055,297.95215813215697,0
M6,89.8659057728799,211.29283242155367,0
M6,91.33944526683747,115.56906888313513,1
M10,109.98910110371347,267.4025381994163,1
M4,87.46934995246664,99.77653747879089,1
M6,93.41159142206897,176.88447637934294,0
M2,101.24879935255261,201.73910620705277,1
M10,88.88629737200847,89.68711029250669,0
M2,111.82824066461664,294.1672652761609,1
M10,99.37268021170371,232.01181461432932,1
M4,84.70223396104858,180.6095708879889,0
M8,105.70295998949142,78.76054150733124,0
M7,96.38238650723929,44.541715889467056,0
M9,96.72279456286235,116.41615478066554,0
M8,94.0543974193793,233.36058069661877,0
M5,94.85059744106245,102.71945054154676,0
M2,108.26781405331204,175.68017953378637,1
M5,75.14907396656578,226.54573771730065,0
M8,86.71814056552411,59.144802954545376,0
M10,73.77516819019446,215.03046435128581,0
M9,107.66231103737255,54.80513968171207,0
M9,83.61509273601497,290.5850303742891,1
M1,114.8715204909442,161.86641511753368,1
M9,96.32892333296469,70.68254908166689,0
M7,110.03748857430605,122.44358172905756,0
M9,118.94657178079805,141.62244130972059,0
